params,value
booster,gbtree
lambda,2.8466969596763585e-07
alpha,0.0022454000097998153
subsample,0.2266545619533499
colsample_bytree,0.6794683851802611
max_depth,5
min_child_weight,5
eta,0.011412810295184173
gamma,0.0007352387258961672
grow_policy,depthwise
value,0.10283672048717657
