params,value
booster,gbtree
lambda,1.238290111033862e-08
alpha,3.360146445675761e-08
subsample,0.5365354012863757
colsample_bytree,0.9295022899601696
max_depth,9
min_child_weight,6
eta,0.0547120964136874
gamma,0.017180352963513716
grow_policy,lossguide
value,0.004860134010203519
