params,value
booster,dart
lambda,1.2196277238623086e-07
alpha,8.872072866566911e-08
subsample,0.852609953518945
colsample_bytree,0.9158639052000911
max_depth,3
min_child_weight,10
eta,0.16082146155580598
gamma,0.08975552616350903
grow_policy,lossguide
sample_type,uniform
normalize_type,tree
rate_drop,6.970741073918815e-08
skip_drop,0.012644258522609655
value,0.4273398364926093
