params,value
booster,gbtree
lambda,0.009976011363581682
alpha,1.1348951236462428e-08
subsample,0.4820481726126769
colsample_bytree,0.30891549825446896
max_depth,3
min_child_weight,3
eta,0.04320203726112024
gamma,0.0222947799643317
grow_policy,depthwise
value,0.2915859561493901
